iso3,bloc,status,source,checked_on,note
BRN,ASEAN,member,https://asean.org/forging-a-new-era-timor-leste-admitted-into-asean/,2026-09-26,
IDN,ASEAN,member,https://asean.org/forging-a-new-era-timor-leste-admitted-into-asean/,2026-09-26,
KHM,ASEAN,member,https://asean.org/forging-a-new-era-timor-leste-admitted-into-asean/,2026-09-26,
LAO,ASEAN,member,https://asean.org/forging-a-new-era-timor-leste-admitted-into-asean/,2026-09-26,
MMR,ASEAN,member,https://asean.org/forging-a-new-era-timor-leste-admitted-into-asean/,2026-09-26,
MYS,ASEAN,member,https://asean.org/forging-a-new-era-timor-leste-admitted-into-asean/,2026-09-26,
PHL,ASEAN,member,https://asean.org/forging-a-new-era-timor-leste-admitted-into-asean/,2026-09-26,
SGP,ASEAN,member,https://asean.org/forging-a-new-era-timor-leste-admitted-into-asean/,2026-09-26,
THA,ASEAN,member,https://asean.org/forging-a-new-era-timor-leste-admitted-into-asean/,2026-09-26,
TLS,ASEAN,member,https://asean.org/forging-a-new-era-timor-leste-admitted-into-asean/,2026-09-26,
VNM,ASEAN,member,https://asean.org/forging-a-new-era-timor-leste-admitted-into-asean/,2026-09-26,
AGO,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
BDI,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
BEN,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
BFA,African Union,suspended,https://au.int/en/member_states/countryprofiles2,2026-09-26,Suspended since Jan 2022 (military coup)
BWA,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
CAF,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
CIV,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
CMR,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
COD,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
COG,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
COM,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
CPV,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
DJI,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
DZA,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
EGY,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
ERI,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
ESH,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,Sahrawi Arab Democratic Republic; not in World Bank data
ETH,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
GAB,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
GHA,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
GIN,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
GMB,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
GNB,African Union,suspended,https://au.int/en/member_states/countryprofiles2,2026-09-26,Suspended since Nov 2025 (coup)
GNQ,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
KEN,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
LBR,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
LBY,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
LSO,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
MAR,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
MDG,African Union,suspended,https://au.int/en/member_states/countryprofiles2,2026-09-26,Suspended in Oct 2025 (military takeover)
MLI,African Union,suspended,https://au.int/en/member_states/countryprofiles2,2026-09-26,Suspended since Jun 2021 (military coup)
MOZ,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
MRT,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
MUS,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
MWI,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
NAM,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
NER,African Union,suspended,https://au.int/en/member_states/countryprofiles2,2026-09-26,Suspended since Aug 2023 (military coup)
NGA,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
RWA,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
SDN,African Union,suspended,https://sudantribune.com/article/310666,2026-09-26,Suspended since Oct 2021
SEN,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
SLE,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
SOM,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
SSD,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
STP,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
SWZ,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
SYC,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
TCD,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
TGO,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
TUN,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
TZA,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
UGA,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
ZAF,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
ZMB,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
ZWE,African Union,member,https://au.int/en/member_states/countryprofiles2,2026-09-26,
ARE,BRICS,member,https://www.brics2026.gov.in/about-us/,2026-09-26,
BRA,BRICS,member,https://www.brics2026.gov.in/about-us/,2026-09-26,
CHN,BRICS,member,https://www.brics2026.gov.in/about-us/,2026-09-26,
EGY,BRICS,member,https://www.brics2026.gov.in/about-us/,2026-09-26,
ETH,BRICS,member,https://www.brics2026.gov.in/about-us/,2026-09-26,
IDN,BRICS,member,https://www.brics2026.gov.in/about-us/,2026-09-26,
IND,BRICS,member,https://www.brics2026.gov.in/about-us/,2026-09-26,
IRN,BRICS,member,https://www.brics2026.gov.in/about-us/,2026-09-26,
RUS,BRICS,member,https://www.brics2026.gov.in/about-us/,2026-09-26,
ZAF,BRICS,member,https://www.brics2026.gov.in/about-us/,2026-09-26,
AUT,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
BEL,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
BGR,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
CYP,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
CZE,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
DEU,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
DNK,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
ESP,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
EST,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
FIN,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
FRA,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
GRC,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
HRV,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
HUN,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
IRL,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
ITA,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
LTU,European Union,member,https://european-union.europa.eu/principles-countries-history/eu-countries_en,2026-09-26,
