code,name_pt,name_en,unit,format,higher_is_better,source_note
SP.DYN.LE00.IN,"Expectativa de vida ao nascer, total (anos)","Life expectancy at birth, total (years)",years,number,TRUE,
SI.POV.DDAY,"Pobreza, US$ 3,00/dia (PPP 2021) (% da população)",Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),%,percent,FALSE,"Replaces the old US$1.90/day line (World Bank update, 2025)"
SP.POP.TOTL,"População, total","Population, total",people,compact,,
SP.POP.GROW,Crescimento da população (% anual),Population growth (annual %),%,percent,,
SM.POP.NETM,Migração líquida,Net migration,people,compact,,
NY.GDP.MKTP.CD,PIB (US$ correntes),GDP (current US$),US$,currency,,
NY.GDP.PCAP.CD,PIB per capita (US$ correntes),GDP per capita (current US$),US$,currency,TRUE,
NY.GDP.MKTP.KD.ZG,Crescimento do PIB (% anual),GDP growth (annual %),%,percent,TRUE,
SL.UEM.TOTL.ZS,"Desemprego, total (% da força de trabalho)","Unemployment, total (% of total labor force) (modeled ILO estimate)",%,percent,FALSE,Modeled ILO estimate
FP.CPI.TOTL.ZG,"Inflação, preços ao consumidor (% anual)","Inflation, consumer prices (annual %)",%,percent,,
EG.ELC.ACCS.ZS,Acesso à eletricidade (% da população),Access to electricity (% of population),%,percent,TRUE,
AG.LND.FRST.ZS,Área florestal (% da área terrestre),Forest area (% of land area),%,percent,TRUE,
EN.GHG.CO2.PC.CE.AR5,"Emissões de CO₂ per capita, excluindo LULUCF (t CO₂e)",Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),t CO2e,number,FALSE,
ER.H2O.FWTL.ZS,Retiradas anuais de água doce (% dos recursos internos),"Annual freshwater withdrawals, total (% of internal resources)",%,percent,FALSE,
EG.ELC.RNWX.ZS,"Eletricidade de fontes renováveis, exceto hidrelétrica (% do total)","Electricity production from renewable sources, excluding hydroelectric (% of total)",%,percent,TRUE,
SH.STA.SMSS.ZS,Saneamento gerido com segurança (% da população),People using safely managed sanitation services (% of population),%,percent,TRUE,
IT.NET.USER.ZS,Pessoas que usam a Internet (% da população),Individuals using the Internet (% of population),%,percent,TRUE,
VC.IHR.PSRC.P5,Homicídios intencionais (por 100 mil habitantes),"Intentional homicides (per 100,000 people)",per 100k,number,FALSE,
SG.GEN.PARL.ZS,Assentos ocupados por mulheres no parlamento nacional (%),Proportion of seats held by women in national parliaments (%),%,percent,TRUE,
GC.DOD.TOTL.GD.ZS,"Dívida do governo central, total (% do PIB)","Central government debt, total (% of GDP)",%,percent,FALSE,
IQ.SPI.OVRL,Indicador de desempenho estatístico (SPI): nota geral (0–100),Statistical performance indicators (SPI): Overall score (scale 0-100),score 0-100,number,TRUE,
BX.KLT.DINV.WD.GD.ZS,"Investimento estrangeiro direto, entradas líquidas (% do PIB)","Foreign direct investment, net inflows (% of GDP)",%,percent,,
AG.PRD.CROP.XD,Índice de produção agrícola (2014–2016 = 100),Crop production index (2014-2016 = 100),index,number,,
AG.PRD.LVSK.XD,Índice de produção pecuária (2014–2016 = 100),Livestock production index (2014-2016 = 100),index,number,,
AG.LND.ARBL.ZS,Terra cultivável (% da área terrestre),Arable land (% of land area),%,percent,,
NV.AGR.TOTL.ZS,"Agricultura, silvicultura e pesca, valor adicionado (% do PIB)","Agriculture, forestry, and fishing, value added (% of GDP)",%,percent,,
EN.GHG.ALL.PC.CE.AR5,"Emissões totais de GEE per capita, excluindo LULUCF (t CO₂e)",Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),t CO2e,number,FALSE,
EG.FEC.RNEW.ZS,Consumo de energia renovável (% do consumo final),Renewable energy consumption (% of total final energy consumption),%,percent,TRUE,
AG.LND.EL5M.ZS,Área terrestre abaixo de 5 m de altitude (% da área total),Land area where elevation is below 5 meters (% of total land area),%,percent,,
IT.CEL.SETS.P2,Assinaturas de telefonia móvel (por 100 pessoas),Mobile cellular subscriptions (per 100 people),per 100,number,,"WDI reports per 100 people, not per 1,000"
IT.NET.BBND.P2,Assinaturas de banda larga fixa (por 100 pessoas),Fixed broadband subscriptions (per 100 people),per 100,number,TRUE,
SE.PRM.ENRR,"Matrícula escolar, ensino fundamental (% bruto)","School enrollment, primary (% gross)",%,percent,,Gross ratio; can exceed 100%
SE.ADT.LITR.ZS,Taxa de alfabetização de adultos (% de 15 anos ou mais),"Literacy rate, adult total (% of people ages 15 and above)",%,percent,TRUE,
SE.XPD.TOTL.GB.ZS,Gasto público em educação (% do gasto do governo),"Government expenditure on education, total (% of government expenditure)",%,percent,,
EG.USE.COMM.CL.ZS,Energia alternativa e nuclear (% do uso total de energia),Alternative and nuclear energy (% of total energy use),%,percent,,
EG.USE.ELEC.KH.PC,Consumo de energia elétrica (kWh per capita),Electric power consumption (kWh per capita),kWh,number,,
EG.CFT.ACCS.ZS,Acesso a combustíveis e tecnologias limpas para cozinhar (% da população),Access to clean fuels and technologies for cooking (% of population),%,percent,TRUE,
ER.PTD.TOTL.ZS,Áreas terrestres e marinhas protegidas (% do território),Terrestrial and marine protected areas (% of total territorial area),%,percent,TRUE,
IC.FRM.BNKS.ZS,Empresas que usam bancos para financiar investimentos (% das empresas),Firms using banks to finance investment (% of firms),%,percent,,
LP.LPI.ITRN.XQ,Índice de desempenho logístico: facilidade de fretes competitivos (1–5),Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),score 1-5,number,TRUE,
TX.VAL.TECH.MF.ZS,Exportações de alta tecnologia (% das exportações manufaturadas),High-technology exports (% of manufactured exports),%,percent,TRUE,
CM.MKT.TRAD.GD.ZS,"Ações negociadas, valor total (% do PIB)","Stocks traded, total value (% of GDP)",%,percent,,
SM.POP.FDIP,Pessoas deslocadas à força,Forcibly displaced people,people,compact,FALSE,
MS.MIL.TOTL.TF.ZS,Pessoal das forças armadas (% da força de trabalho),Armed forces personnel (% of total labor force),%,percent,,
SE.ENR.PRSC.FM.ZS,"Matrícula no ensino fundamental e médio, índice de paridade de gênero (meninas/meninos)","School enrollment, primary and secondary (gross), gender parity index (GPI)",ratio,number,,1 = parity
SP.DYN.CONU.ZS,"Uso de método contraceptivo, qualquer método (% das mulheres casadas de 15 a 49 anos)","Contraceptive prevalence, any method (% of married women ages 15-49)",%,percent,,WDI has no 15–19 series; closest available is 15–49
SH.STA.MMRT,Razão de mortalidade materna (por 100 mil nascidos vivos),"Maternal mortality ratio (modeled estimate, per 100,000 live births)",per 100k,number,FALSE,Modeled estimate
MS.MIL.XPND.GD.ZS,Despesas militares (% do PIB),Military expenditure (% of GDP),%,percent,,
SH.IMM.MEAS,Imunização contra sarampo (% das crianças de 12 a 23 meses),"Immunization, measles (% of children ages 12-23 months)",%,percent,TRUE,
SH.SGR.CRSK.ZS,Risco de gasto catastrófico com cirurgia (% das pessoas em risco),Risk of catastrophic expenditure for surgical care (% of people at risk),%,percent,FALSE,
SH.DYN.AIDS.ZS,Prevalência de HIV (% da população de 15 a 49 anos),"Prevalence of HIV, total (% of population ages 15-49)",%,percent,FALSE,
IS.RRS.GOOD.MT.K6,"Ferrovias, mercadorias transportadas (milhões de t-km)","Railways, goods transported (million ton-km)",million ton-km,compact,,
IE.PPI.ENGY.CD,Investimento com participação privada em energia (US$ correntes),Investment in energy with private participation (current US$),US$,currency,,
IE.PPI.TRAN.CD,Investimento com participação privada em transporte (US$ correntes),Investment in transport with private participation (current US$),US$,currency,,
IE.PPI.WATR.CD,Investimento com participação privada em água e saneamento (US$ correntes),Investment in water and sanitation with private participation (current US$),US$,currency,,
SL.TLF.CACT.ZS,Taxa de participação na força de trabalho (% da população 15+),"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",%,percent,,Modeled ILO estimate
SL.GDP.PCAP.EM.KD,"PIB por pessoa empregada (PPP de 2021, US$ constantes)",GDP per person employed (constant 2021 PPP $),US$ PPP,currency,TRUE,
SL.EMP.TOTL.SP.ZS,"Razão emprego/população, 15+ (%)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",%,percent,TRUE,Modeled ILO estimate
NY.GNP.MKTP.CD,RNB (US$ correntes),GNI (current US$),US$,currency,,
NY.GNP.PCAP.KD.ZG,Crescimento da RNB per capita (% anual),GNI per capita growth (annual %),%,percent,TRUE,
BN.GSR.GNFS.CD,"Comércio líquido de bens e serviços (BoP, US$ correntes)","Net trade in goods and services (BoP, current US$)",US$,currency,,
BN.KLT.DINV.CD,"Investimento estrangeiro direto, líquido (BoP, US$ correntes)","Foreign direct investment, net (BoP, current US$)",US$,currency,,
SI.DST.FRST.20,Participação na renda dos 20% mais pobres (%),Income share held by lowest 20%,%,percent,TRUE,
SI.POV.GINI,Índice de Gini,Gini index,index 0-100,number,FALSE,
EN.POP.SLUM.UR.ZS,População vivendo em favelas (% da população urbana),Population living in slums (% of urban population),%,percent,FALSE,
SL.TLF.0714.ZS,Crianças trabalhando (% das crianças de 7 a 14 anos),"Children in employment, total (% of children ages 7-14)",%,percent,FALSE,
SL.FAM.0714.ZS,"Crianças trabalhando sem remuneração em família (% das crianças trabalhando, 7 a 14 anos)","Children in employment, unpaid family workers (% of children in employment, ages 7-14)",%,percent,FALSE,
per_allsp.cov_pop_tot,Cobertura de programas de proteção social e trabalho (% da população),Coverage of social protection and labor programs (% of population),%,percent,TRUE,
GC.REV.SOCL.ZS,Contribuições sociais (% da receita),Social contributions (% of revenue),%,percent,,
IS.RRS.PASG.KM,"Ferrovias, passageiros transportados (milhões de passageiros-km)","Railways, passengers carried (million passenger-km)",million passenger-km,compact,,
EN.GHG.CO2.TR.MT.CE.AR5,Emissões de CO₂ do setor de transportes (Mt CO₂e),Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),Mt CO2e,number,FALSE,
SH.STA.TRAF.P5,Mortalidade por acidentes de trânsito (por 100 mil habitantes),"Mortality caused by road traffic injury (per 100,000 population)",per 100k,number,FALSE,
VC.IDP.NWDS,"Deslocados internos, novos deslocamentos por desastres (número de casos)","Internally displaced persons, new displacement associated with disasters (number of cases)",cases,compact,FALSE,
AG.LND.EL5M.UR.K2,Área urbana abaixo de 5 m de altitude (km²),Urban land area where elevation is below 5 meters (sq. km),sq. km,number,,
SP.URB.TOTL.IN.ZS,População urbana (% da população total),Urban population (% of total population),%,percent,,
SH.H2O.BASW.ZS,Acesso a pelo menos serviços básicos de água potável (% da população),People using at least basic drinking water services (% of population),%,percent,TRUE,
SH.STA.HYGN.ZS,Acesso a instalações básicas para lavar as mãos com água e sabão (% da população),People with basic handwashing facilities including soap and water (% of population),%,percent,TRUE,
ER.MRN.PTMR.ZS,Áreas marinhas protegidas (% das águas territoriais),Marine protected areas (% of territorial waters),%,percent,TRUE,
